Measure,N,GT_Mean,Prediction_Mean,MAE,RMSE,Bias_Pred_minus_GT,Correlation
EDV,55,163.86157968772542,164.140030360521,12.029764519192954,16.958614205942045,0.2784506727955563,0.9394712720472843
ESV,55,85.29753625963815,83.84751241572988,7.808665577693419,10.49315199952523,-1.4500238439083106,0.9570337504312353
EF,55,49.022894829212674,50.32551705646141,4.695185365385763,6.3932118104695315,1.3026222272487287,0.8637436510260499
