DISEASE,Patients,Cases,Mean_Dice,Median_Dice,Mean_HD95_mm,Median_HD95_mm
NOR,10,20,0.9367045904411586,0.947082987518076,3.5319494222481906,1.2995495200157166
RV,5,10,0.9250634622814633,0.942856934556682,4.246760074257599,2.2510069785981104
LV,5,10,0.9241544412788384,0.939101830356087,4.711250007152557,1.4166666269302368
FALL,9,18,0.922724330027139,0.9281911825892153,6.4509181700744165,8.047785818780415
TRI,6,12,0.9206421911054035,0.9365292571018222,4.197428602427725,1.4166666269302368
CIA,6,12,0.9180662745435129,0.927149539578467,4.139569061860116,2.106266515640449
HCM,9,18,0.9127864250701965,0.9370496173051994,4.930317406308098,1.4843999743461609
ARR,5,10,0.9123581877746328,0.9211538739476111,3.829395955480348,2.7167941331863403
