VENDOR,Patients,Cases,Mean_Dice,Median_Dice,Mean_HD95_mm,Median_HD95_mm
GE MEDICAL SYSTEMS,8,16,0.9298589978621608,0.9344261367627983,2.4390803465683564,1.7470395828451093
Philips Medical Systems,14,28,0.9212705088180199,0.9278915081016864,4.763772756393364,2.364864706993103
SIEMENS,33,66,0.9209125710456428,0.935406273629008,5.01527785509243,2.4702757368020283
