SCANNER,Patients,Cases,Mean_Dice,Median_Dice,Mean_HD95_mm,Median_HD95_mm
TrioTim,1,2,0.9587304556081429,0.9587304556081429,1.328125,1.328125
SIGNA EXCITE,3,6,0.9517331767779922,0.9492448785726062,1.7399355033526396,1.4843999743461609
Symphony,2,4,0.9436169585918788,0.9459990658302961,1.25,1.25
Signa Explorer,1,2,0.9238458115654669,0.9238458115654669,1.7470395828451093,1.7470395828451093
Avanto Fit,7,14,0.9226082512739755,0.929669754820817,6.608462657306606,9.546076774597168
Achieva,14,28,0.9212705088180199,0.9278915081016864,4.763772756393364,2.364864706993103
SymphonyTim,23,46,0.9167779440346299,0.9297649774964656,5.018121983343649,2.7268627074965197
Signa HDxt,4,8,0.9149566602494607,0.9218605363786392,3.1364491699109553,2.106266515640449
